tconst,primaryTitle,startYear,averageRating,numVotes,qid,pagerank,imdb_rank,pagerank_rank
tt1602620,Amour,2012,7.9,110930,Q637820,0.0050696095595381,478.0,20.0
tt0190332,"Crouching Tiger, Hidden Dragon",2000,7.9,296027,Q273978,0.0066969086648238,448.0,3.0
tt1065073,Boyhood,2014,7.9,382675,Q4103201,0.0061864625204333,441.0,4.0
tt0083866,E.T. the Extra-Terrestrial,1982,7.9,473773,Q11621,0.0069519145364293,438.0,2.0
tt0327056,Mystic River,2003,7.9,525152,Q221586,0.0042789215059455,432.0,40.0
tt0499549,Avatar,2009,7.9,1506307,Q24871,0.0055105145633819,415.0,12.0
tt0083987,Gandhi,1982,8.0,246450,Q202211,0.0044933292708466,349.0,34.0
tt0099348,Dances with Wolves,1990,8.0,311544,Q20456,0.0040503606797583,343.0,46.0
tt0095953,Rain Man,1988,8.0,586696,Q188845,0.004324169245584,334.0,39.0
tt1504320,The King's Speech,2010,8.0,734629,Q160060,0.0047458338037317,326.0,25.0
tt3783958,La La Land,2016,8.0,769427,Q20856802,0.0051709971044635,322.0,18.0
tt1010048,Slumdog Millionaire,2008,8.0,912407,Q125076,0.0053649091825801,316.0,14.0
tt0120338,Titanic,1997,8.0,1401388,Q44578,0.0058721205911189,309.0,6.0
tt0052618,Ben-Hur,1959,8.1,271964,Q180098,0.0044788263635608,247.0,35.0
tt1895587,Spotlight,2015,8.1,537617,Q18154496,0.0045028237980097,233.0,33.0
tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,8.1,611329,Q24053277,0.0052275888401501,229.0,17.0
tt0075148,Rocky,1976,8.1,694404,Q188652,0.0046137683158474,225.0,30.0
tt0405159,Million Dollar Baby,2004,8.1,769221,Q184255,0.0047630333063429,223.0,23.0
tt2024544,12 Years a Slave,2013,8.1,790101,Q3023357,0.0056906245589243,221.0,9.0
tt0116282,Fargo,1996,8.1,790457,Q222720,0.0040429732737545,220.0,49.0
